affiliationID,normalizedName,displayName,GRIDid,wiki,paperTotal,paperFamilyTotal,citationTotal,Iso3166Code,Latitude,Longitude
894557895,european school of management and technology,European School of Management and Technology,grid.434239.b,http://en.wikipedia.org/wiki/European_School_of_Management_and_Technology,581,562,15927,DE,52.51556,13.40111
916146328,indian institutes of information technology,Indian Institutes of Information Technology,"",http://en.wikipedia.org/wiki/Indian_Institutes_of_Information_Technology,3358,3309,15694,"","",""
1283532511,kihara institute for biological research,Kihara Institute for Biological Research,grid.471657.6,http://en.wikipedia.org/wiki/Kihara_Institute_for_Biological_Research,741,738,27867,JP,35.4056435,139.550583
1285541721,sentara norfolk general hospital,Sentara Norfolk General Hospital,grid.415513.7,http://en.wikipedia.org/wiki/Sentara_Norfolk_General_Hospital,230,230,7331,US,36.86126,-76.30355
1289702989,university system of georgia,University System of Georgia,grid.298187.d,http://en.wikipedia.org/wiki/University_System_of_Georgia,232,231,5022,US,33.75332,-84.38594
1292669757,toshiba,Toshiba,grid.410825.a,http://en.wikipedia.org/wiki/Toshiba,71031,70543,992037,JP,35.65161,139.757751
1297202495,concord hospital,Concord Hospital,grid.414687.8,http://en.wikipedia.org/wiki/Concord_Hospital_(New_Hampshire),1991,1983,48087,US,43.1985626,-71.56284
1308791923,sparrow health system,Sparrow Health System,grid.478033.b,http://en.wikipedia.org/wiki/Sparrow_Health_System,88,88,3728,US,42.7342072,-84.5351257
1312222531,agricultural research service,Agricultural Research Service,grid.463419.d,http://en.wikipedia.org/wiki/Agricultural_Research_Service,55976,55736,1599669,US,38.8885,-77.02999
1315135799,marshfield clinic,Marshfield Clinic,grid.280718.4,http://en.wikipedia.org/wiki/Marshfield_Clinic,3585,3556,123282,US,44.67773,-90.17732
1327576362,the feinstein institute for medical research,The Feinstein Institute for Medical Research,grid.250903.d,http://en.wikipedia.org/wiki/Feinstein_Institute_for_Medical_Research,3649,3623,98538,US,40.7756653,-73.7017441
1331164456,military academy,Military Academy,"",http://en.wikipedia.org/wiki/Military_Academy_(Serbia),3302,3274,27032,RS,44.7698326,20.4698467
1332124652,centre for environment fisheries and aquaculture science,"Centre for Environment, Fisheries and Aquaculture Science",grid.14332.37,"http://en.wikipedia.org/wiki/Centre_for_Environment,_Fisheries_and_Aquaculture_Science",2810,2802,102797,GB,52.441124,1.727375
1339065421,defence science and technology laboratory,Defence Science and Technology Laboratory,grid.417845.b,http://en.wikipedia.org/wiki/Defence_Science_and_Technology_Laboratory,1107,1095,20391,GB,51.0698929,-1.794783
1343035065,united states department of commerce,United States Department of Commerce,grid.239119.1,http://en.wikipedia.org/wiki/United_States_Department_of_Commerce,1244,1224,28517,US,38.8943,-77.0161362
1343864894,american red cross,American Red Cross,grid.281926.6,http://en.wikipedia.org/wiki/American_Red_Cross,3187,3176,102714,US,38.9255753,-77.04299
2609542403,eastman kodak company,Eastman Kodak Company,grid.481686.5,"",38193,38099,586293,FR,48.7901039,2.432721
2799551928,redland hospital,Redland Hospital,grid.460800.a,https://en.wikipedia.org/wiki/Redland_Hospital,52,52,562,AU,-27.5403118,153.251831
2799853345,university hospital waterford,University Hospital Waterford,grid.416954.b,https://en.wikipedia.org/wiki/University_Hospital_Waterford,323,321,4795,IE,52.24945,-7.080707
2800069126,society for applied microbiology,Society for Applied Microbiology,grid.481317.8,https://en.wikipedia.org/wiki/Society_for_Applied_Microbiology,4,4,22,GB,52.1512,-0.474967
2800656170,healthcare improvement scotland,Healthcare Improvement Scotland,grid.482042.8,https://en.wikipedia.org/wiki/Healthcare_Improvement_Scotland,130,130,895,GB,55.9313622,-3.294746
2801884048,government of extremadura,Government of Extremadura,grid.454770.5,https://en.wikipedia.org/wiki/Government_of_Extremadura,28,28,162,ES,38.91655,-6.346376
2801905138,luton and dunstable hospital,Luton and Dunstable Hospital,grid.412935.8,https://en.wikipedia.org/wiki/Luton_and_Dunstable_University_Hospital,756,752,10509,GB,51.894,-0.474
2802503132,services hospital,Services Hospital,grid.460986.5,https://en.wikipedia.org/wiki/Services_Hospital,536,535,8603,PK,31.541275,74.33305
2802662748,jps health network,JPS Health Network,grid.414766.6,https://en.wikipedia.org/wiki/JPS_Health_Network,117,117,726,US,32.7262955,-97.32693
2802866506,st elizabeth healthcare,St. Elizabeth Healthcare,grid.430725.7,https://en.wikipedia.org/wiki/St._Elizabeth_Healthcare_(Kentucky),51,49,451,US,39.01324,-84.56197
2802977208,royal hobart hospital,Royal Hobart Hospital,grid.416131.0,https://en.wikipedia.org/wiki/Royal_Hobart_Hospital,1752,1738,25545,AU,-42.8799,147.3299
3018288129,istituto neurologico mediterraneo,Istituto Neurologico Mediterraneo,grid.419543.e,"",242,242,3976,IT,41.51387,14.0598726
3020458218,universitat innsbruck,Universität Innsbruck,grid.5771.4,http://en.wikipedia.org/wiki/University_of_Innsbruck,1713,1698,8603,AT,47.2635651,11.38379
80043,curie institute,Curie Institute,grid.418596.7,http://en.wikipedia.org/wiki/Curie_Institute_(Paris),15603,15483,572262,FR,48.84333,2.34417
17170469,solvay,Solvay,"",http://en.wikipedia.org/wiki/Solvay_S.A.,6951,6889,84224,BE,50.8340721,4.36216354
26092322,stellenbosch university,Stellenbosch University,grid.11956.3a,http://en.wikipedia.org/wiki/Stellenbosch_University,40810,40455,677857,ZA,-33.9300766,18.8647251
28631974,tokiwa university,Tokiwa University,grid.444288.6,http://en.wikipedia.org/wiki/Tokiwa_University,208,207,1146,JP,36.3818054,140.439392
29955533,center for information technology,Center for Information Technology,grid.410422.1,http://en.wikipedia.org/wiki/Center_for_Information_Technology,5591,5475,101946,US,39.00132,-77.10457
32462889,fatih university,Fatih University,grid.411137.1,http://en.wikipedia.org/wiki/Fatih_University,2944,2927,42903,TR,41.09194,28.62361
41173762,mawlana bhashani science and technology university,Mawlana Bhashani Science and Technology University,grid.443019.b,http://en.wikipedia.org/wiki/Mawlana_Bhashani_Science_and_Technology_University,725,721,3787,BD,24.2352,89.8918
45230691,ladoke akintola university of technology,Ladoke Akintola University of Technology,grid.411270.1,http://en.wikipedia.org/wiki/Ladoke_Akintola_University_of_Technology,2557,2549,19339,NG,8.13333,4.26667
61986632,sogn og fjordane university college,Sogn og Fjordane University College,"",http://en.wikipedia.org/wiki/Sogn_og_Fjordane_University_College,337,337,5931,NO,61.23123,7.10081
66083562,systems research institute,Systems Research Institute,grid.465202.7,http://en.wikipedia.org/wiki/Systems_Research_Institute,2323,2290,76600,PL,52.2459,20.9402313
66958751,woods hole oceanographic institution,Woods Hole Oceanographic Institution,grid.56466.37,http://en.wikipedia.org/wiki/Woods_Hole_Oceanographic_Institution,17585,17414,892382,US,41.5245171,-70.6709747
78757542,university of newcastle,University of Newcastle,grid.266842.c,http://en.wikipedia.org/wiki/University_of_Newcastle_(Australia),51682,50885,1223323,AU,-32.89278,151.704437
80327900,chang jung christian university,Chang Jung Christian University,grid.411209.f,http://en.wikipedia.org/wiki/Chang_Jung_Christian_University,2118,2112,25870,TW,22.9027214,120.27253
89098413,tokushima bunri university,Tokushima Bunri University,grid.412769.f,http://en.wikipedia.org/wiki/Tokushima_Bunri_University,4213,3936,61867,JP,34.2025,134.605286
94234084,indian institute of technology kanpur,Indian Institute of Technology Kanpur,grid.417965.8,http://en.wikipedia.org/wiki/Indian_Institute_of_Technology_Kanpur,25078,24113,387273,IN,26.5113831,80.23493
116768543,zanjan university of medical sciences,Zanjan University of Medical Sciences,grid.469309.1,http://en.wikipedia.org/wiki/Zanjan_University_of_Medical_Sciences,2498,2493,14784,IR,36.70025,48.51495
120230055,poznan university of medical sciences,Poznan University of Medical Sciences,grid.22254.33,http://en.wikipedia.org/wiki/Poznan_University_of_Medical_Sciences,7593,7552,67939,PL,52.40944,16.91889
146155226,j f oberlin university,J. F. Oberlin University,grid.444229.d,http://en.wikipedia.org/wiki/J._F._Oberlin_University,342,336,1717,JP,35.581,139.408
149704539,deakin university,Deakin University,grid.1021.2,http://en.wikipedia.org/wiki/Deakin_University,41870,41201,724366,AU,-38.1979,144.2973
153648349,university of leicester,University of Leicester,grid.9918.9,http://en.wikipedia.org/wiki/University_of_Leicester,61898,59893,1547245,GB,52.62139,-1.12444
168451400,lincoln memorial university,Lincoln Memorial University,grid.259092.5,http://en.wikipedia.org/wiki/Lincoln_Memorial_University,458,457,3034,US,36.5808,-83.6566
168529580,yukawa institute for theoretical physics,Yukawa Institute for Theoretical Physics,"",http://en.wikipedia.org/wiki/Yukawa_Institute_for_Theoretical_Physics,3067,2883,68508,JP,35.03075,135.785828
173761726,karabuk university,Karabük University,grid.440448.8,http://en.wikipedia.org/wiki/Karabük_University,2071,2064,16491,TR,41.19606,32.62246
173956350,patna medical college and hospital,Patna Medical College and Hospital,grid.460959.7,http://en.wikipedia.org/wiki/Patna_Medical_College_and_Hospital,376,376,2066,IN,25.3714,85.933
175003984,office of naval research,Office of Naval Research,grid.482851.2,http://en.wikipedia.org/wiki/Office_of_Naval_Research,1801,1779,38094,US,38.8808,-77.1086
179066132,slovenian academy of sciences and arts,Slovenian Academy of Sciences and Arts,grid.425908.2,http://en.wikipedia.org/wiki/Slovenian_Academy_of_Sciences_and_Arts,691,688,7198,SI,46.04778,14.50444
182204967,molde university college,Molde University College,grid.411834.b,http://en.wikipedia.org/wiki/Molde_University_College,823,820,11042,NO,62.7366,7.1091
189448455,ge healthcare,GE Healthcare,grid.492727.d,http://en.wikipedia.org/wiki/GE_Healthcare,5949,5923,110067,ES,40.4738426,-3.825986
189460059,el bosque university,El Bosque University,grid.412195.a,http://en.wikipedia.org/wiki/El_Bosque_University,2474,2459,14196,CO,4.710161,-74.03197
197251160,hebrew university of jerusalem,Hebrew University of Jerusalem,grid.9619.7,http://en.wikipedia.org/wiki/Hebrew_University_of_Jerusalem,98182,95513,2984728,IL,31.77583,35.2
200845125,nanjing university of information science and technology,Nanjing University of Information Science and Technology,grid.260478.f,http://en.wikipedia.org/wiki/Nanjing_University_of_Information_Science_and_Technology,15425,15296,146521,CN,32.20722,118.721672
206404770,institute of insect sciences zhejiang university,"Institute of Insect Sciences, Zhejiang University","","http://en.wikipedia.org/wiki/Institute_of_Insect_Sciences,_Zhejiang_University",664,664,11358,"","",""
230495080,university of limerick,University of Limerick,grid.10049.3c,http://en.wikipedia.org/wiki/University_of_Limerick,15476,15309,220946,IE,52.674,-8.571
385303915,wroclaw medical university,Wrocław Medical University,grid.4495.c,http://en.wikipedia.org/wiki/Wrocław_Medical_University,7638,7622,89260,PL,51.10889,17.06889
1282516798,wake forest baptist medical center,Wake Forest Baptist Medical Center,grid.412860.9,http://en.wikipedia.org/wiki/Wake_Forest_Baptist_Medical_Center,3492,3471,43979,US,36.0904121,-80.26977
