affiliationID,displayName,normalizedName,wiki,paperTotal,citationTotal,Latitude,Longitude,GRIDid
4657992,University of Wisconsin–La Crosse,university of wisconsin la crosse,http://en.wikipedia.org/wiki/University_of_Wisconsin–La_Crosse,2599,37241,43.8155,-91.231,grid.267462.3
5343935,Guilin University of Electronic Technology,guilin university of electronic technology,http://en.wikipedia.org/wiki/Guilin_University_of_Electronic_Technology,9268,33850,25.2816448,110.33728,grid.440723.6
12450925,Nha Trang University,nha trang university,http://en.wikipedia.org/wiki/Nha_Trang_University,353,3287,12.2703,109.1997,grid.444864.e
15873915,Al-Mustansiriya University,al mustansiriya university,http://en.wikipedia.org/wiki/Al-Mustansiriya_University,461,3165,33.33861,44.38972,grid.411309.e
17404232,Bangladesh Council of Scientific and Industrial Research,bangladesh council of scientific and industrial research,http://en.wikipedia.org/wiki/Bangladesh_Council_of_Scientific_and_Industrial_Research,1064,7603,24.3915234,88.6271439,grid.466521.2
22265921,National Central University,national central university,http://en.wikipedia.org/wiki/National_Central_University,27636,439672,24.96828,121.192886,grid.37589.30
26128692,Jane Goodall Institute,jane goodall institute,http://en.wikipedia.org/wiki/Jane_Goodall_Institute,125,5146,38.9261627,-77.24512,grid.486968.d
39587148,Wichita State University,wichita state university,http://en.wikipedia.org/wiki/Wichita_State_University,9044,147004,37.71917,-97.29306,grid.268246.c
73443619,University of Southern Maine,university of southern maine,http://en.wikipedia.org/wiki/University_of_Southern_Maine,2218,44942,43.6625,-70.27611,grid.267189.3
83714178,Shenyang Jianzhu University,shenyang jianzhu university,http://en.wikipedia.org/wiki/Shenyang_Jianzhu_University,5024,9131,41.80563,123.432358,grid.443552.1
92389990,Royal College of Physicians and Surgeons of Canada,royal college of physicians and surgeons of canada,http://en.wikipedia.org/wiki/Royal_College_of_Physicians_and_Surgeons_of_Canada,246,6193,45.39549,-75.68224,grid.464678.f
98865867,Lindenwood University,lindenwood university,http://en.wikipedia.org/wiki/Lindenwood_University,420,3217,38.787,-90.503,grid.431378.a
111199411,University of Peradeniya,university of peradeniya,http://en.wikipedia.org/wiki/University_of_Peradeniya,6637,111392,7.25417,80.59667,grid.11139.3b
124055696,University of Copenhagen,university of copenhagen,http://en.wikipedia.org/wiki/University_of_Copenhagen,138694,3800267,55.67972,12.5725,grid.5254.6
136722135,Claremont Graduate University,claremont graduate university,http://en.wikipedia.org/wiki/Claremont_Graduate_University,4436,112567,34.10413,-117.712669,grid.254271.7
140141371,Kursk State University,kursk state university,http://en.wikipedia.org/wiki/Kursk_State_University,308,543,51.73528,36.1906,grid.445569.f
150420616,Kathmandu,kathmandu,http://en.wikipedia.org/wiki/Kathmandu_(company),6989,71069,-43.53499,172.642365,""
150744194,Waseda University,waseda university,http://en.wikipedia.org/wiki/Waseda_University,45448,525932,35.7092,139.71933,grid.5290.e
157638225,"California State University, Northridge",california state university northridge,"http://en.wikipedia.org/wiki/California_State_University,_Northridge",7037,116928,34.24167,-118.528328,grid.253563.4
162868743,Tianjin University,tianjin university,http://en.wikipedia.org/wiki/Tianjin_University,77611,661956,39.1081657,117.17881,grid.33763.32
166427055,Xinjiang Agricultural University,xinjiang agricultural university,http://en.wikipedia.org/wiki/Xinjiang_Agricultural_University,3408,8572,43.81404,87.5663147,grid.413251.0
170239107,University of South Australia,university of south australia,http://en.wikipedia.org/wiki/University_of_South_Australia,29924,533196,-34.92049,138.606781,grid.1026.5
173888879,SINTEF,sintef,http://en.wikipedia.org/wiki/SINTEF,13212,226082,63.4089165,10.4068966,grid.4319.f
181401687,American University,american university,http://en.wikipedia.org/wiki/American_University,13644,222105,38.9370537,-77.08692,grid.63124.32
182000528,Ajman University of Science and Technology,ajman university of science and technology,http://en.wikipedia.org/wiki/Ajman_University_of_Science_and_Technology,685,3994,25.41222,55.50667,grid.444470.7
195459967,Mizoram University,mizoram university,http://en.wikipedia.org/wiki/Mizoram_University,948,6645,23.7394,92.6651,grid.411813.e
202602053,SK Telecom,sk telecom,http://en.wikipedia.org/wiki/SK_Telecom,1003,10155,37.56389,126.979393,grid.480347.c
207417044,Universidade de Santa Cruz do Sul,universidade de santa cruz do sul,http://en.wikipedia.org/wiki/Universidade_de_Santa_Cruz_do_Sul,3286,5299,"","",""
210557978,Lunenfeld-Tanenbaum Research Institute,lunenfeld tanenbaum research institute,http://en.wikipedia.org/wiki/Lunenfeld-Tanenbaum_Research_Institute,2063,36330,43.6573677,-79.38956,""
224549313,Punjab Medical College,punjab medical college,http://en.wikipedia.org/wiki/Punjab_Medical_College,117,601,31.4525,73.08417,grid.415422.4
884693733,Chartered Institute of Management Accountants,chartered institute of management accountants,http://en.wikipedia.org/wiki/Chartered_Institute_of_Management_Accountants,1654,29055,51.5184441,-0.089125,grid.468529.4
1289568071,San Antonio Military Medical Center,san antonio military medical center,http://en.wikipedia.org/wiki/Brooke_Army_Medical_Center,2821,51937,29.4605,-98.4156,grid.416653.3
1296697866,National Board of Health and Welfare,national board of health and welfare,http://en.wikipedia.org/wiki/National_Board_of_Health_and_Welfare_(Sweden),1052,43819,59.328083,18.02095,grid.416537.2
1305840828,Sanford Health,sanford health,http://en.wikipedia.org/wiki/Sanford_Health,475,5582,43.535,-96.7434,grid.490404.d
1313865045,Catholic Relief Services,catholic relief services,http://en.wikipedia.org/wiki/Catholic_Relief_Services,135,2262,39.2919426,-76.6192856,grid.420479.c
1339993747,Asia-Pacific Economic Cooperation,asia pacific economic cooperation,http://en.wikipedia.org/wiki/Asia-Pacific_Economic_Cooperation,560,6697,1.357377,103.810211,""
2799990285,Epworth Hospital,epworth hospital,https://en.wikipedia.org/wiki/Epworth_Hospital,665,28553,-37.8173,144.9929,grid.414539.e
2800087592,Liverpool Heart and Chest Hospital NHS Trust,liverpool heart and chest hospital nhs trust,https://en.wikipedia.org/wiki/Liverpool_Heart_and_Chest_Hospital_NHS_Foundation_Trust,51,659,53.41061,-2.899504,grid.437500.5
2800138454,Cystic Fibrosis Foundation,cystic fibrosis foundation,https://en.wikipedia.org/wiki/Cystic_Fibrosis_Foundation,283,16159,38.9791832,-77.09811,grid.427709.f
2800598127,"University College Hospital, Ibadan",university college hospital ibadan,"https://en.wikipedia.org/wiki/University_College_Hospital,_Ibadan",3758,47942,7.40214,3.902694,grid.412438.8
2800742272,Folkwang University of the Arts,folkwang university of the arts,https://en.wikipedia.org/wiki/Folkwang_University_of_the_Arts,5424,75522,51.3875,7.00444,grid.448788.f
2801173597,Global Alliance for Rabies Control,global alliance for rabies control,https://en.wikipedia.org/wiki/Global_Alliance_for_Rabies_Control,77,2998,39.1802559,-96.56462,grid.479276.9
2801382319,Royal Jubilee Hospital,royal jubilee hospital,http://en.wikipedia.org/wiki/Royal_Jubilee_Hospital,309,5132,48.4334,-123.3274,grid.416144.2
2801398864,Saxion University of Applied Sciences,saxion university of applied sciences,http://en.wikipedia.org/wiki/Saxion_University_of_Applied_Sciences,481,3005,52.2203,6.8864,grid.29742.3a
2802258401,Great Western Hospital,great western hospital,https://en.wikipedia.org/wiki/Great_Western_Hospital,693,6189,51.549,-1.755,grid.413286.a
2802351605,Royal Forest Department,royal forest department,https://en.wikipedia.org/wiki/Royal_Forest_Department,201,3498,13.8290539,100.5637,grid.473357.1
2802993344,Directorate-General for Research and Innovation,directorate general for research and innovation,https://en.wikipedia.org/wiki/Directorate-General_for_Research_and_Innovation_(European_Commission),64,914,50.8501854,4.344832,grid.483732.9
